"CMS Certification Number (CCN)","Provider Name","Provider Address",City/Town,State,"ZIP Code","Telephone Number","Provider SSA County Code",County/Parish,Urban,"Ownership Type","Number of Certified Beds","Average Number of Residents per Day","Average Number of Residents per Day Footnote","Provider Type","Provider Resides in Hospital","Legal Business Name","Date First Approved to Provide Medicare and Medicaid Services","Chain Name","Chain ID","Number of Facilities in Chain","Chain Average Overall 5-star Rating","Chain Average Health Inspection Rating","Chain Average Staffing Rating","Chain Average QM Rating","Continuing Care Retirement Community","Special Focus Status","Abuse Icon","Most Recent Health Inspection More Than 2 Years Ago","Provider Changed Ownership in Last 12 Months","With a Resident and Family Council","Automatic Sprinkler Systems in All Required Areas","Overall Rating","Overall Rating Footnote","Health Inspection Rating","Health Inspection Rating Footnote","QM Rating","QM Rating Footnote","Long-Stay QM Rating","Long-Stay QM Rating Footnote","Short-Stay QM Rating","Short-Stay QM Rating Footnote","Staffing Rating","Staffing Rating Footnote","Reported Staffing Footnote","Physical Therapist Staffing Footnote","Reported Nurse Aide Staffing Hours per Resident per Day","Reported LPN Staffing Hours per Resident per Day","Reported RN Staffing Hours per Resident per Day","Reported Licensed Staffing Hours per Resident per Day","Reported Total Nurse Staffing Hours per Resident per Day","Total number of nurse staff hours per resident per day on the weekend","Registered Nurse hours per resident per day on the weekend","Reported Physical Therapist Staffing Hours per Resident Per Day","Total nursing staff turnover","Total nursing staff turnover footnote","Registered Nurse turnover","Registered Nurse turnover footnote","Number of administrators who have left the nursing home","Administrator turnover footnote","Nursing Case-Mix Index","Nursing Case-Mix Index Ratio","Case-Mix Nurse Aide Staffing Hours per Resident per Day","Case-Mix LPN Staffing Hours per Resident per Day","Case-Mix RN Staffing Hours per Resident per Day","Case-Mix Total Nurse Staffing Hours per Resident per Day","Case-Mix Weekend Total Nurse Staffing Hours per Resident per Day","Adjusted Nurse Aide Staffing Hours per Resident per Day","Adjusted LPN Staffing Hours per Resident per Day","Adjusted RN Staffing Hours per Resident per Day","Adjusted Total Nurse Staffing Hours per Resident per Day","Adjusted Weekend Total Nurse Staffing Hours per Resident per Day","Rating Cycle 1 Standard Survey Health Date","Rating Cycle 1 Total Number of Health Deficiencies","Rating Cycle 1 Number of Standard Health Deficiencies","Rating Cycle 1 Number of Complaint Health Deficiencies","Rating Cycle 1 Health Deficiency Score","Rating Cycle 1 Number of Health Revisits","Rating Cycle 1 Health Revisit Score","Rating Cycle 1 Total Health Score","Rating Cycle 2 Standard Health Survey Date","Rating Cycle 2/3 Total Number of Health Deficiencies","Rating Cycle 2 Number of Standard Health Deficiencies","Rating Cycle 2/3 Number of Complaint Health Deficiencies","Rating Cycle 2/3 Health Deficiency Score","Rating Cycle 2/3 Number of Health Revisits","Rating Cycle 2/3 Health Revisit Score","Rating Cycle 2/3 Total Health Score","Total Weighted Health Survey Score","Number of Citations from Infection Control Inspections","Number of Fines","Total Amount of Fines in Dollars","Number of Payment Denials","Total Number of Penalties",Location,Latitude,Longitude,"Geocoding Footnote","Processing Date"
015028,"KELLER LANDING","813 KELLER LANE",TUSCUMBIA,AL,35674,2563831535,160,Colbert,Y,"For profit - Corporation",109,78.4,,"Medicare and Medicaid",N,"SUNBRIDGE HEALTHCARE LLC",1977-07-01,"GENESIS HEALTHCARE",237,185,2.4,2.3,2.5,3.5,N,,N,Y,N,Resident,Yes,5,,5,,4,,4,,4,,4,,,,1.76457,0.42900,1.07945,1.50845,3.27302,2.74977,0.56230,0.01099,46.3,,22.2,,0,,1.18172,0.83700,1.93967,0.71870,0.57361,3.23198,2.86521,2.09317,0.50889,1.28046,3.88251,3.26183,2022-02-24,0,0,0,0,0,0,0,2019-06-20,1,1,0,4,1,0,4,1.000,,0,0.00,0,0,"813 KELLER LANE,TUSCUMBIA,AL,35674",34.7419,'-87.706,,2026-07-01
015031,"MITCHELL-HOLLINGSWORTH NURSING & REHABILITATION","805 FLAGG CIRCLE",FLORENCE,AL,35631,2567405400,380,Lauderdale,Y,"For profit - Limited Liability company",222,198.0,,"Medicare and Medicaid",N,"MITCHELL-HOLLINGSWORTH NURSING & REHAB CENTER",1967-01-01,"PRESTON HEALTH SERVICES",702,5,3.2,3.2,3.2,2.8,N,,N,N,N,Resident,Yes,3,,3,,4,,5,,3,,4,,,,1.80726,0.88954,0.68727,1.57681,3.38407,2.84238,0.37820,0.03149,36.6,,17.2,,0,,1.19760,0.84825,1.96574,0.72836,0.58132,3.27543,2.90372,2.11537,1.04119,0.80444,3.96100,3.32696,2025-09-18,6,6,1,24,1,0,24,2019-09-05,1,1,0,4,1,0,4,19.000,,0,0.00,0,0,"805 FLAGG CIRCLE,FLORENCE,AL,35631",34.8082,'-87.687,,2026-07-01
015032,"DIVERSICARE OF FOLEY","1701 NORTH ALSTON STREET",FOLEY,AL,36535,2519432781,010,Baldwin,Y,"For profit - Corporation",154,120.2,,"Medicare and Medicaid",N,"DIVERSICARE OF FOLEY LLC",1973-09-01,"DIVERSICARE HEALTHCARE",185,46,2.5,2.4,2.9,3.5,N,,N,Y,N,Resident,Yes,2,,2,,4,,5,,3,,3,,,,1.97381,0.77519,0.53394,1.30913,3.28294,2.89004,0.28972,0.03720,46.6,,33.3,,0,,1.32467,0.93825,2.17431,0.80564,0.64300,3.62295,3.21181,2.08871,0.82032,0.56501,3.47404,3.05826,2023-06-19,5,5,0,32,1,0,32,2019-10-10,2,2,0,20,1,0,20,29.000,,0,0.00,0,0,"1701 NORTH ALSTON STREET,FOLEY,AL,36535",30.4269,'-87.685,,2026-07-01
015034,"HUNTER CREEK HEALTH AND REHABILITATION, LLC","3200 HUNTER CREEK RD",NORTHPORT,AL,35473,2053395900,620,Tuscaloosa,Y,"For profit - Limited Liability company",78,74.4,,"Medicare and Medicaid",N,"HUNTER CREEK HEALTH AND REHABILITATION LLC",1968-07-01,"NHS MANAGEMENT",372,43,2.9,2.7,3.7,3.5,N,,N,Y,N,Resident,Yes,3,,3,,3,,4,,3,,4,,,,2.59743,0.61912,0.71324,1.33236,3.92979,3.30315,0.38210,0.02809,44.3,,53.8,,0,,1.27464,0.90282,2.09220,0.77522,0.61872,3.48613,3.09051,2.85650,0.68087,0.78438,4.32175,3.63261,2022-04-14,1,1,0,16,1,0,16,2019-06-06,3,3,0,8,1,0,8,14.000,0,0,0.00,0,0,"3200 HUNTER CREEK RD,NORTHPORT,AL,35473",33.2375,'-87.565,,2026-07-01
015035,"WEST GATE VILLAGE","100 PINEVIEW AND THIRD",BREWTON,AL,36427,2518676077,260,Escambia,N,"For profit - Corporation",125,99.4,,"Medicare and Medicaid",N,"WEST GATE VILLAGE, LLC",1967-01-01,"CROWNE HEALTH CARE",174,18,4.2,3.8,4.6,2.8,N,,N,Y,N,Both,Yes,5,,4,,3,,2,,3,,5,,,,2.92458,1.30931,0.55879,1.86810,4.79269,3.76184,0.14563,0.00687,29.8,,21.4,,0,,1.24449,0.88146,2.04270,0.75688,0.60408,3.40365,3.01740,3.29422,1.47479,0.62942,5.39843,4.23730,2022-03-09,0,0,0,0,0,0,0,2019-06-20,3,3,0,24,1,0,24,6.000,,0,0.00,0,0,"100 PINEVIEW AND THIRD,BREWTON,AL,36427",31.1079,'-87.071,22,2026-07-01
015040,"DIVERSICARE OF MONTGOMERY","2020 NORTH COUNTRY CLUB DRIVE",MONTGOMERY,AL,36106,3342631643,500,Montgomery,Y,"For profit - Corporation",138,114.5,,"Medicare and Medicaid",N,"DIVERSICARE OF MONTGOMERY LLC",1979-07-17,"DIVERSICARE HEALTHCARE",185,46,2.5,2.4,2.9,3.5,N,,N,Y,N,Resident,Yes,2,,2,,4,,5,,4,,2,,,,2.01362,0.56561,0.43753,1.00314,3.01676,2.46957,0.23238,0.02984,57.1,,50.0,,0,,1.20975,0.85685,1.98567,0.73575,0.58722,3.30863,2.93316,2.33326,0.65540,0.50698,3.49564,2.86158,2023-04-05,4,4,0,36,1,0,36,2021-07-22,2,2,0,20,1,0,20,32.000,0,0,0.00,0,0,"2020 NORTH COUNTRY CLUB DRIVE,MONTGOMERY,AL,36106",32.3595,'-86.279,,2026-07-01
015042,"SUMTER HEALTH AND REHABILITATION, L L C","1505 EAST 4TH AVENUE",YORK,AL,36925,2053925281,590,Sumter,N,"For profit - Corporation",125,108.1,,"Medicare and Medicaid",N,"SUMTER HEALTH AND REHABILITATION, LLC",1967-01-16,"NHS MANAGEMENT",372,43,2.9,2.7,3.7,3.5,N,,N,Y,N,Both,Yes,3,,3,,4,,4,,4,,4,,,,2.28821,0.58200,0.49080,1.07280,3.36102,2.89005,0.27139,0.01051,36.8,,36.4,,0,,1.13957,0.80715,1.87049,0.69307,0.55315,3.11671,2.76302,2.81471,0.71591,0.60373,4.13436,3.55502,2022-04-21,2,2,0,12,1,0,12,2019-09-05,2,2,0,20,1,0,20,14.000,,0,0.00,0,0,"1505 EAST 4TH AVENUE,YORK,AL,36925",32.4948,'-88.286,,2026-07-01
015044,"CAREGIVERS OF PLEASANT GROVE, INC","700 FIRST AVENUE","PLEASANT GROVE",AL,35127,2057448120,360,Jefferson,Y,"For profit - Corporation",64,53.2,,"Medicare and Medicaid",N,"CAREGIVERS OF PLEASANT GROVE INC",1967-01-13,,,,,,,,N,,N,Y,N,Resident,Yes,1,,2,,1,,1,,,2,3,,,,2.88746,0.74964,0.30460,1.05424,3.94170,3.29077,0.27852,0.00626,52.6,,50.0,,1,,1.22272,0.86604,2.00696,0.74364,0.59351,3.34411,2.96461,3.31031,0.85942,0.34921,4.51894,3.77268,2021-03-11,5,5,0,36,1,0,36,2020-01-15,2,2,0,20,1,0,20,32.000,,0,0.00,0,0,"700 FIRST AVENUE,PLEASANT GROVE,AL,35127",33.4878,'-86.956,,2026-07-01
015045,"EAMC LANIER NURSING HOME","4800 48TH STREET",VALLEY,AL,36854,3347561401,080,Chambers,N,"Non profit - Corporation",103,92.0,,"Medicare and Medicaid",N,"THE EAST ALABAMA HEALTH CARE AUTHORITY",1977-05-01,,,,,,,,N,,N,Y,N,Both,Yes,5,,4,,2,,1,,4,,5,,,,2.31797,0.61863,0.85415,1.47278,3.79075,3.19960,0.56967,0.00000,32.4,,0.0,,0,,1.18647,0.84037,1.94747,0.72159,0.57592,3.24498,2.87673,2.73860,0.73090,1.00915,4.47865,3.78022,2021-08-19,1,1,0,0,0,0,0,2019-03-21,5,5,0,20,1,0,20,5.000,,0,0.00,0,0,"4800 48TH STREET,VALLEY,AL,36854",32.8251,'-85.171,,2026-07-01
015047,"NORTHWAY HEALTH AND REHABILITATION, LLC","1424 NORTH 25TH STREET",BIRMINGHAM,AL,35234,2053285870,360,Jefferson,Y,"For profit - Limited Liability company",113,108.3,,"Medicare and Medicaid",N,"NORTHWAY HEALTH AND REHABILITATION, LLC",1976-11-01,"NHS MANAGEMENT",372,43,2.9,2.7,3.7,3.5,N,,N,Y,N,Resident,Yes,3,,2,,5,,5,,,2,3,,,,2.73323,0.48811,0.35253,0.84063,3.57386,2.86182,0.13197,0.03925,51.8,,44.4,,1,,1.04789,0.74221,1.72001,0.63731,0.50865,2.86597,2.54073,3.65627,0.65295,0.47158,4.78080,3.82829,2024-04-17,6,6,6,28,1,0,28,2019-05-23,2,1,1,12,1,0,12,24.000,,0,0.00,0,0,"1424 NORTH 25TH STREET,BIRMINGHAM,AL,35234",33.5335,'-86.809,,2026-07-01
015048,"CULLMAN HEALTH CARE CENTER","1607 MAIN AVE NE",CULLMAN,AL,35055,2567348745,210,Cullman,N,"For profit - Corporation",95,91.1,,"Medicare and Medicaid",N,"CULLMAN SNF OPERATIONS LLC",1971-02-01,"VENZA CARE MANAGEMENT",614,22,2.4,2.5,3.0,2.6,N,,N,Y,N,Resident,Yes,2,,2,,2,,3,,2,,4,,,,2.43280,0.81973,0.86233,1.68206,4.11486,3.32400,0.43436,0.02506,50.5,,26.3,,1,,1.34158,0.95023,2.20206,0.81593,0.65121,3.66920,3.25281,2.54196,0.85652,0.90102,4.29950,3.47315,2023-10-19,5,5,0,32,1,0,32,2021-10-07,0,0,0,0,0,0,0,24.000,,1,26982.00,0,1,"1607 MAIN AVE NE,CULLMAN,AL,35055",34.1921,'-86.847,,2026-07-01
015049,"EASTERN SHORE REHABILITATION AND HEALTH CENTER","101 VILLA DRIVE",DAPHNE,AL,36526,2516214200,010,Baldwin,Y,"Non profit - Corporation",117,97.7,,"Medicare and Medicaid",N,"NOLAND EASTERN SHORE LLC",1967-01-23,"NOLAND HEALTH",374,10,2.7,2.5,4.1,3.0,N,,N,Y,N,Resident,Yes,4,,3,,3,,2,,5,,5,,,,2.44908,0.89591,0.71924,1.61515,4.06423,3.48939,0.46410,0.05738,47.7,,27.8,,0,,1.16292,0.82369,1.90882,0.70727,0.56449,3.18058,2.81964,2.95210,1.07992,0.86696,4.89898,4.20607,2021-03-26,3,3,0,16,1,0,16,2019-01-31,3,3,0,12,1,0,12,15.000,,0,0.00,0,0,"101 VILLA DRIVE,DAPHNE,AL,36526",30.613,'-87.907,,2026-07-01
015050,"STONEHAVEN HEALTH AND REHABILITATION CENTER","325 SELMA ROAD",BESSEMER,AL,35020,2054289383,360,Jefferson,Y,"For profit - Limited Liability company",79,60.3,,"Medicare and Medicaid",N,"OAK CREST HEALTH & WELLNESS OPCO LLC",1967-01-24,"ARABELLA HEALTHCARE MANAGEMENT",633,13,2.7,2.6,2.9,3.2,N,,N,Y,N,Resident,Yes,1,,1,,4,,4,,,2,2,,,,1.73259,0.98011,0.53991,1.52001,3.25260,2.74542,0.15336,0.05208,72.5,,81.8,,1,,1.19192,0.84422,1.95641,0.72490,0.57856,3.25987,2.88993,2.03764,1.15268,0.63497,3.82529,3.22880,2023-02-12,6,6,0,253,1,0,253,2019-10-16,1,1,0,4,1,0,4,190.750,,0,0.00,0,0,"325 SELMA ROAD,BESSEMER,AL,35020",33.4296,'-86.942,,2026-07-01
015053,"CLEBURNE COUNTY NURSING HOME","122 BROCKFORD ROAD",HEFLIN,AL,36264,2564632121,140,Cleburne,N,"Government - County",82,72.6,,"Medicare and Medicaid",N,"CLEBURNE COUNTY HOSPITAL BOARD, INC",1967-01-20,,,,,,,,N,,N,Y,N,Resident,Yes,5,,5,,4,,4,,5,,4,,,,2.54990,1.07857,0.68962,1.76819,4.31809,3.33324,0.26824,0.00903,42.2,,45.5,,0,,1.14704,0.81244,1.88275,0.69761,0.55678,3.13714,2.78113,3.11618,1.31810,0.84277,5.27705,4.07350,2022-03-11,0,0,0,0,0,0,0,2019-07-10,2,1,0,8,1,0,8,2.000,1,0,0.00,0,0,"122 BROCKFORD ROAD,HEFLIN,AL,36264",33.6363,'-85.588,,2026-07-01
015060,"NORTHGATE HEALTH AND REHABILITATION CENTER","4201 BESSEMER SUPER HIGHWAY",BESSEMER,AL,35020,2054283249,360,Jefferson,Y,"For profit - Corporation",69,52.7,,"Medicare and Medicaid",N,"MAGNOLIA RIDGE REHABILITATION & SENIOR LIVING OPCO LLC",1967-02-02,"ARABELLA HEALTHCARE MANAGEMENT",633,13,2.7,2.6,2.9,3.2,N,,N,N,N,Resident,Yes,2,,1,,5,,5,,,2,3,,,,1.71977,0.41314,1.05523,1.46837,3.18814,2.60415,0.64466,0.01491,78.6,,73.3,,,26,1.06293,0.75287,1.74470,0.64646,0.51595,2.90711,2.57720,2.26801,0.54484,1.39162,4.20446,3.43430,2025-01-09,2,2,0,20,1,0,20,2021-05-06,20,2,18,300,1,0,300,90.000,,3,17346.00,1,4,"4201 BESSEMER SUPER HIGHWAY,BESSEMER,AL,35020",33.4307,'-86.941,,2026-07-01
015063,"DIVERSICARE OF BOAZ","600 CORLEY AVENUE",BOAZ,AL,35957,2565938380,470,Marshall,N,"For profit - Corporation",100,91.1,,"Medicare and Medicaid",N,"DIVERSICARE OF BOAZ LLC",1970-12-01,"DIVERSICARE HEALTHCARE",185,46,2.5,2.4,2.9,3.5,N,,N,N,N,Both,Yes,2,,2,,4,,4,,3,,4,,,,1.70227,0.33304,0.92630,1.25935,2.96161,2.50212,0.57749,0.03173,51.8,,47.8,,0,,1.07279,0.75985,1.76087,0.65245,0.52074,2.93406,2.60110,2.22429,0.43518,1.21037,3.86984,3.26944,2025-07-04,7,7,4,44,1,0,44,2019-09-19,1,1,0,16,1,0,16,37.000,,0,0.00,0,0,"600 CORLEY AVENUE,BOAZ,AL,35957",34.2199,'-86.162,,2026-07-01
